player_id,player_object_id,player_name,dob,dod,batting_style,bowling_style,country_id
47205,55412,Craig Ervine,8/19/85,,left-hand bat,right-arm offbreak,9
80639,823509,Glenn Phillips,12/6/96,,right-hand bat,right-arm offbreak,5
10423,55608,Hamilton Masakadza,8/9/83,,right-hand bat,right-arm medium,9
1444,37254,Geoff Howarth,3/29/51,,right-hand bat,right-arm offbreak,5
35647,37091,Peter Fulton,2/1/79,,right-hand bat,right-arm medium,5
1982,52337,Brian Lara,5/2/69,,left-hand bat,legbreak googly,4
65881,524219,Kayron J Stagno,9/7/93,,right-hand bat,right-arm offbreak,18
47055,24598,Eoin Morgan,9/10/86,,left-hand bat,right-arm medium,1
10340,56074,Rajin Saleh,11/20/83,,right-hand bat,right-arm offbreak,25
114180,1347289,Armando Chuvale,1/27/06,,right-hand bat,right-arm medium-fast,171
47986,56029,Mushfiqur Rahim,5/9/87,,right-hand bat,,25
51554,293831,Regis Chakabva,9/20/87,,right-hand bat,right-arm offbreak,9
58772,381743,Daryl Mitchell,5/20/91,,right-hand bat,right-arm medium,5
45253,55814,Brendan Taylor,2/6/86,,right-hand bat,right-arm offbreak,9
1566,36951,Bruce Edgar,11/23/56,,left-hand bat,right-arm bowler,5
9570,38407,Scott Styris,7/10/75,,right-hand bat,right-arm medium,5
1873,52066,Carl Hooper,12/15/66,,right-hand bat,right-arm offbreak,4
103389,1156724,James Fitzgerald,4/10/99,,right-hand bat,right-arm medium-fast,18
53320,311158,Ben Stokes,6/4/91,,left-hand bat,right-arm fast-medium,1
24667,55988,Mohammad Ashraful,7/7/84,,right-hand bat,right-arm offbreak,25
48277,56143,Shakib Al Hasan,3/24/87,,left-hand bat,slow left-arm orthodox,25
2232,45789,Jacques Kallis,10/16/75,,right-hand bat,right-arm fast-medium,3
44930,38699,Ross Taylor,3/8/84,,right-hand bat,right-arm offbreak,5
2131,52059,Roland Holder,12/22/67,,right-hand bat,right-arm medium,4
55830,338535,Jonathan West,5/16/81,,right-hand bat,right-arm medium,18
53271,308967,Jos Buttler,9/8/90,,right-hand bat,,1
45558,56266,Aftab Ahmed,11/10/85,,right-hand bat,right-arm medium,25
58220,373538,Sabbir Rahman,11/22/91,,right-hand bat,legbreak,25
96949,1089929,Ayo Mene-Ejegi,12/7/90,,right-hand bat,right-arm medium,5615
2159,22403,Craig White,12/16/69,,right-hand bat,right-arm fast-medium,1
1987,49125,Chandika Hathurusinghe,9/13/68,,right-hand bat,right-arm medium-fast,8
9989,38062,Jacob Oram,7/28/78,,left-hand bat,right-arm fast-medium,5
2070,52442,Junior Murray,1/20/68,,right-hand bat,,4
106746,1204627,Kenroy Nestor,9/8/88,,right-hand bat,right-arm fast,18
46597,8917,Moeen Ali,6/18/87,,left-hand bat,right-arm offbreak,1
2201,55954,Khaled Mashud,2/8/76,,right-hand bat,,25
52363,300618,Nasir Hossain,11/30/91,,right-hand bat,right-arm offbreak,25
67178,547749,Will Young,11/22/92,,right-hand bat,right-arm offbreak,5
47234,55346,Graeme Cremer,9/19/86,,right-hand bat,legbreak googly,9
64447,495964,Ryan Burl,4/15/94,,left-hand bat,legbreak,9
1521,36952,Jock Edwards,5/27/55,4/6/20,right-hand bat,,5
7410,38393,Mathew Sinclair,11/9/75,,right-hand bat,right-arm medium,5
66876,541224,Luke Jongwe,2/6/95,,right-hand bat,right-arm fast-medium,9
24672,56007,Mashrafe Mortaza,10/5/83,,right-hand bat,right-arm fast-medium,25
49108,232364,Tim Southee,12/11/88,,right-hand bat,right-arm medium-fast,5
48205,55872,Malcolm Waller,9/28/84,,right-hand bat,right-arm offbreak,9
2200,55973,Mohammad Rafique,9/5/70,,left-hand bat,slow left-arm orthodox,25
1407,37224,Richard Hadlee,7/3/51,,left-hand bat,right-arm fast,5
49496,247235,Chris Woakes,3/2/89,,right-hand bat,right-arm fast-medium,1
65832,523245,Andrew Reyes,3/7/84,,right-hand bat,right-arm medium,18
1884,51107,Curtly Ambrose,9/21/63,,left-hand bat,right-arm fast,4
10303,37740,Kyle Mills,3/15/79,,right-hand bat,right-arm fast-medium,5
7656,28090,Sameer Dighe,10/8/68,,right-hand bat,,6
65214,514770,Prakash Mishra,1/9/79,,right-hand bat,right-arm medium,114
53602,318334,Nawroz Mangal,7/15/84,,right-hand bat,right-arm offbreak,40
44691,10582,Ravi Bopara,5/4/85,,right-hand bat,right-arm medium,1
7716,36084,Yuvraj Singh,12/12/81,,left-hand bat,slow left-arm orthodox,6
10238,52983,Marlon Samuels,2/5/81,,right-hand bat,right-arm offbreak,4
10394,43654,Yasir Arafat,3/12/82,,right-hand bat,right-arm fast-medium,7
48641,213674,Todd Astle,9/24/86,,right-hand bat,legbreak,5
49266,235514,Brian Vitori,2/22/90,,left-hand bat,left-arm fast-medium,9
60782,425639,Tendai Chatara,2/28/91,,right-hand bat,right-arm fast-medium,9
1565,36304,Brendon Bracewell,9/14/59,,right-hand bat,right-arm medium,5
65060,511532,Al-Amin Hossain,12/27/92,,right-hand bat,right-arm medium-fast,25
72379,669855,Jofra Archer,4/1/95,,right-hand bat,right-arm fast,1
91025,989797,Jack Horrocks,5/26/93,,right-hand bat,left-arm medium,18
1765,53216,Courtney Walsh,10/30/62,,right-hand bat,right-arm fast,4
45159,56283,Abdur Razzak,6/15/82,,left-hand bat,slow left-arm orthodox,25
15357,37111,Mark Gillespie,10/17/79,,right-hand bat,right-arm fast-medium,5
1840,32179,Chandrakant Pandit,9/30/61,,right-hand bat,,6
68493,585463,Godfred Bakiweyem,12/20/98,,right-hand bat,right-arm medium,135
1993,15383,Richard Illingworth,8/23/63,,right-hand bat,slow left-arm orthodox,1
109956,1275727,Omar Rassol,9/12/97,,right-hand bat,right-arm offbreak,114
53809,320652,Asghar Afghan,12/26/87,,right-hand bat,right-arm medium-fast,40
63224,471342,Krunal Pandya,3/24/91,,left-hand bat,slow left-arm orthodox,6
48405,34102,Rohit Sharma,4/30/87,,right-hand bat,right-arm offbreak,6
47111,52917,Denesh Ramdin,3/13/85,,right-hand bat,,4
45257,51439,Dwayne Bravo,10/7/83,,right-hand bat,right-arm medium,4
57410,360456,Asela Gunaratne,1/8/86,,right-hand bat,right-arm medium-fast,8
216,14220,George Hirst,1871-09-07,5/10/54,right-hand bat,left-arm medium-fast,1
95708,1071473,Jan Nicol Loftie-Eaton,3/15/01,,left-hand bat,right-arm medium,28
109548,1267515,Vukasin Zimonjic,2/25/05,,right-hand bat,right-arm medium-fast,5615
9630,47015,Jacques Rudolph,5/4/81,,left-hand bat,legbreak googly,3
109955,1275726,Mukul Kadyan,1/1/94,,right-hand bat,right-arm medium-fast,114
1446,13399,Graham Gooch,7/23/53,,right-hand bat,right-arm medium,1
1973,30176,Anil Kumble,10/17/70,,right-hand bat,legbreak googly,6
2334,10881,Robert Croft,5/25/70,,right-hand bat,right-arm offbreak,1
1551,19316,Clive Radley,5/13/44,,right-hand bat,legbreak,1
80259,819441,Darwish Rasooli,12/12/99,,right-hand bat,right-arm offbreak,40
65860,524048,Nasir Jamal,12/21/93,,right-hand bat,right-arm offbreak,40
1934,35320,Sachin Tendulkar,4/24/73,,right-hand bat,right-arm offbreak,6
70872,629058,Najmul Hossain Shanto,8/25/98,,left-hand bat,right-arm offbreak,25
105011,1178906,Niraj Khanna,7/28/82,,right-hand bat,right-arm offbreak,45
2230,7133,Ricky Ponting,12/19/74,,right-hand bat,right-arm medium,2
7593,28081,MS Dhoni,7/7/81,,right-hand bat,right-arm medium,6
49040,230559,Kieron Pollard,5/12/87,,right-hand bat,right-arm medium,4
109546,1267513,Nicholas Johns-Wickberg,8/3/89,,right-hand bat,right-arm medium-fast,5615
46933,44828,Faf du Plessis,7/13/84,,right-hand bat,legbreak,3
1564,13418,David Gower,4/1/57,,left-hand bat,right-arm offbreak,1
47206,55870,Sean Williams,9/26/86,,left-hand bat,slow left-arm orthodox,9
243,15509,Gilbert Jessop,1874-05-19,5/11/55,right-hand bat,right-arm fast,1
108154,1233044,Varun Thamotharam,11/12/88,,left-hand bat,left-arm medium-fast,45
6256,5939,Michael Hussey,5/27/75,,left-hand bat,right-arm medium,2
55398,337790,Rassie van der Dussen,2/7/89,,right-hand bat,legbreak,3
87075,935995,Afif Hossain,9/22/99,,left-hand bat,right-arm offbreak,25
1406,19469,Graham Roope,7/12/46,11/26/06,right-hand bat,right-arm medium,1
35582,56186,Tushar Imran,12/20/83,,right-hand bat,,25
45252,55343,Elton Chigumbura,3/14/86,,right-hand bat,right-arm fast-medium,9
2024,28779,Sourav Ganguly,7/8/72,,left-hand bat,right-arm medium,6
46888,25913,Mohammad Nabi,1/1/85,,right-hand bat,right-arm offbreak,40
65861,524049,Najibullah Zadran,2/28/93,,left-hand bat,right-arm offbreak,40
68176,577345,Michau du Preez,1/3/96,,right-hand bat,legbreak,28
106677,1203910,Atagul Ahmadhel,6/1/01,,right-hand bat,right-arm medium,114
3947,44111,Mark Boucher,12/3/76,,right-hand bat,right-arm medium,3
45554,53118,Dwayne Smith,4/12/83,,right-hand bat,right-arm medium,4
53605,318339,Samiullah Shinwari,12/31/87,,right-hand bat,legbreak,40
2100,48469,Kumar Dharmasena,4/24/71,,right-hand bat,right-arm offbreak,8
11399,32685,Irfan Pathan,10/27/84,,left-hand bat,left-arm medium-fast,6
62457,457249,Carlos Brathwaite,7/18/88,,right-hand bat,right-arm fast-medium,4
1529,9163,Ian Botham,11/24/55,,right-hand bat,right-arm fast-medium,1
2116,31036,Nayan Mongia,12/19/69,,right-hand bat,,6
48384,55894,Farhad Reza,6/16/86,,right-hand bat,right-arm fast-medium,25
284,10866,Jack Crawford,1886-12-01,5/2/63,right-hand bat,right-arm medium,1
2228,46774,Shaun Pollock,7/16/73,,right-hand bat,right-arm fast-medium,3
106654,1203875,Nemanja Zimonjic,11/15/03,,right-hand bat,right-arm medium,5615
63683,482478,Jan Frylinck,4/6/94,,left-hand bat,left-arm fast-medium,28
106672,1203902,Dimo Nikolov,3/16/93,,right-hand bat,right-arm medium,114
2187,51232,Courtney Browne,12/7/70,,right-hand bat,,4
45549,25432,Paul Hoffmann,1/14/70,,right-hand bat,right-arm medium-fast,30
48128,43265,Sohail Tanvir,12/12/84,,left-hand bat,left-arm medium-fast,7
7139,29264,Harbhajan Singh,7/3/80,,right-hand bat,right-arm offbreak,6
59339,391485,Jason Holder,11/5/91,,right-hand bat,right-arm medium-fast,4
109540,1267507,Vasil Hristov,2/29/00,,right-hand bat,right-arm medium-fast,114
54563,330223,Bernard Scholtz,10/3/90,,right-hand bat,slow left-arm orthodox,28
10451,51246,Ian Bradshaw,7/9/74,,left-hand bat,left-arm fast-medium,4
271,8565,Ted Arnold,1876-11-07,10/25/42,right-hand bat,right-arm medium-fast,1
4013,45396,Andrew Hall,7/31/75,,right-hand bat,right-arm fast-medium,3
109544,1267511,Slobodan Tosic,2/18/86,,right-hand bat,right-arm offbreak,5615
45487,4508,Doug Bollinger,7/24/81,,left-hand bat,left-arm fast-medium,2
75287,718553,Ehsan Nawaz,3/21/95,,right-hand bat,right-arm fast-medium,19
7678,30102,Zaheer Khan,10/8/78,,right-hand bat,left-arm fast-medium,6
49039,230558,Sunil Narine,5/26/88,,left-hand bat,right-arm offbreak,4
17837,52790,Daren Powell,4/15/78,,right-hand bat,right-arm fast-medium,4
212,16293,Dick Lilley,1866-11-28,11/17/29,right-hand bat,right-arm medium,1
95279,1069820,Ben Shikongo,5/8/00,,right-hand bat,right-arm medium-fast,28
2234,43919,Paul Adams,1/20/77,,right-hand bat,left-arm wrist-spin,3
109541,1267508,Jacob Albin,6/23/98,,right-hand bat,right-arm medium-fast,114
106660,1203882,Matija Sarenac,1/10/04,,right-hand bat,right-arm medium,5615
61857,440963,Aftab Alam,11/30/92,,right-hand bat,right-arm medium-fast,40
62307,453289,Neville Madziva,8/2/91,,right-hand bat,right-arm medium-fast,9
48431,32130,Pragyan Ojha,9/5/86,,left-hand bat,slow left-arm orthodox,6
10506,51248,Sulieman Benn,7/22/81,,left-hand bat,slow left-arm orthodox,4
251,9134,Colin Blythe,1879-05-30,11/8/17,right-hand bat,slow left-arm orthodox,1
65868,524075,Tangeni Lungameni,4/17/92,,right-hand bat,left-arm medium,28
8277,51481,Corey Collymore,12/21/77,,right-hand bat,right-arm fast-medium,4
59773,402245,Amir Hamza,8/15/91,,right-hand bat,slow left-arm orthodox,40
4073,46592,Makhaya Ntini,7/6/77,,right-hand bat,right-arm fast,3
108164,1233054,Delrick Varghese,6/20/97,,right-hand bat,right-arm medium-fast,114
112446,1321224,Robin Vitas,12/12/80,,right-hand bat,right-arm offbreak,5615
49271,235519,Tendai Chisoro,2/12/88,,left-hand bat,left-arm fast-medium,9
47100,32965,Munaf Patel,7/12/83,,right-hand bat,right-arm medium-fast,6
61982,446101,Shannon Gabriel,4/28/88,,right-hand bat,right-arm fast,4
8460,49178,Rangana Herath,3/19/78,,left-hand bat,slow left-arm orthodox,8
842,46196,Cuan McCarthy,3/24/29,8/14/00,right-hand bat,right-arm fast,3
61802,438563,Mark Chapman,6/27/94,,left-hand bat,slow left-arm orthodox,5
1311,36314,Mark Burgess,7/17/44,,right-hand bat,right-arm offbreak,5
1988,49209,Sanath Jayasuriya,6/30/69,,left-hand bat,slow left-arm orthodox,8
48671,215155,Usman Khawaja,12/18/86,,left-hand bat,right-arm medium,2
59607,398513,Saurabh Netravalkar,10/16/91,,right-hand bat,left-arm fast-medium,11
52319,299572,Sikandar Raza,4/24/86,,right-hand bat,right-arm offbreak,9
35812,5334,Aaron Finch,11/17/86,,right-hand bat,slow left-arm orthodox,2
9587,50710,Kumar Sangakkara,10/27/77,,left-hand bat,right-arm offbreak,8
58403,379140,Devon Conway,7/8/91,,left-hand bat,right-arm medium,5
1251,36611,Bevan Congdon,2/11/38,2/10/18,right-hand bat,right-arm medium,5
44908,43524,Umar Gul,10/15/82,,right-hand bat,right-arm fast-medium,7
1763,33949,Chetan Sharma,1/3/66,,right-hand bat,right-arm fast-medium,6
50281,267192,Steven Smith,6/2/89,,right-hand bat,legbreak googly,2
6315,49289,Mahela Jayawardene,5/27/77,,right-hand bat,right-arm medium,8
53195,308505,Moses Anafie,5/23/88,,right-hand bat,right-arm offbreak,135
6343,46569,Andre Nel,7/15/77,,right-hand bat,right-arm fast-medium,3
1059,6598,Ian Meckiff,1/6/35,,right-hand bat,left-arm fast,2
48520,209457,Chamara Kapugedera,2/24/87,,right-hand bat,right-arm medium,8
35384,4451,George Bailey,9/7/82,,right-hand bat,right-arm medium,2
46995,49619,Suranga Lakmal,3/10/87,,right-hand bat,right-arm fast-medium,8
105680,1188638,Javed Maroofkhail,11/10/01,,right-hand bat,right-arm medium,175
61861,440970,Hashmatullah Shahidi,11/4/94,,left-hand bat,right-arm offbreak,40
8197,50431,Chamara Silva,12/14/79,,right-hand bat,legbreak,8
50771,272450,Mitchell Marsh,10/20/91,,right-hand bat,right-arm medium,2
5331,52821,Franklyn Rose,2/1/72,,right-hand bat,right-arm fast,4
4380,38710,Daniel Vettori,1/27/79,,left-hand bat,slow left-arm orthodox,5
69959,596456,Ainsley Ndlovu,1/26/96,,right-hand bat,slow left-arm orthodox,9
45560,56268,Arafat Sunny,9/29/86,,left-hand bat,slow left-arm orthodox,25
7541,46681,Justin Ontong,1/4/80,,right-hand bat,right-arm offbreak,3
291,47217,Tip Snooke,1881-02-01,8/14/66,right-hand bat,right-arm fast-medium,3
109867,1274032,Samarth Bodha,2/3/03,,right-hand bat,right-arm medium,18
62153,450860,Adam Milne,4/13/92,,right-hand bat,right-arm fast,5
1422,36595,Lance Cairns,10/10/49,,right-hand bat,right-arm medium-fast,5
109590,1268919,Bilal Muhammad,4/10/98,,right-hand bat,left-arm medium,45
7419,48472,Tillakaratne Dilshan,10/14/76,,right-hand bat,right-arm offbreak,8
54222,325026,Glenn Maxwell,10/14/88,,right-hand bat,right-arm offbreak,2
7827,30157,Thirunavukkarasu Kumaran,12/30/75,,right-hand bat,right-arm medium,6
2086,10633,Andy Caddick,11/21/68,,right-hand bat,right-arm fast-medium,1
1998,50848,Pramodya Wickramasinghe,8/14/71,,right-hand bat,right-arm fast-medium,8
112036,1314205,Jaison Jerome,5/15/94,,right-hand bat,right-arm medium,45
5432,51651,Mervyn Dillon,6/5/74,,right-hand bat,right-arm fast-medium,4
9711,37700,Chris Martin,12/10/74,,right-hand bat,right-arm fast-medium,5
80845,827051,Blessing Muzarabani,10/2/96,,right-hand bat,right-arm fast-medium,9
54674,330902,Mustafizur Rahman,9/6/95,,left-hand bat,left-arm fast-medium,25
19627,41411,Mohammad Asif,12/20/82,,left-hand bat,right-arm fast-medium,7
47353,56149,Shahadat Hossain,8/7/86,,right-hand bat,right-arm medium-fast,25
49427,244497,Adil Rashid,2/17/88,,right-hand bat,legbreak,1
52739,303934,Kabir Mirpuri,11/27/87,,right-hand bat,right-arm offbreak,18
64402,493773,Lockie Ferguson,6/13/91,,right-hand bat,right-arm fast,5
1549,36303,Stephen Boock,9/20/51,,right-hand bat,slow left-arm orthodox,5
3317,30750,VVS Laxman,11/1/74,,right-hand bat,right-arm offbreak,6
2166,50804,Chaminda Vaas,1/27/74,,left-hand bat,left-arm fast-medium,8
79157,793457,Hazratullah Zazai,3/23/98,,left-hand bat,slow left-arm orthodox,40
47619,55354,Chamu Chibhabha,9/6/86,,right-hand bat,right-arm medium,9
60436,419873,Mohammad Shahzad,1/10/87,,right-hand bat,,40
58406,379143,Quinton de Kock,12/17/92,,left-hand bat,,3
2119,5616,Matthew Hayden,10/29/71,,left-hand bat,right-arm medium,2
91341,990145,Darshit Patankar,5/22/98,,right-hand bat,,45
91277,990081,Mohammad Naim,8/22/99,,left-hand bat,,25
1496,9208,Mike Brearley,4/28/42,,right-hand bat,right-arm medium,1
1743,34028,Navjot Sidhu,10/20/63,,right-hand bat,right-arm medium,6
47218,55946,Zunaed Siddique,10/30/87,,left-hand bat,right-arm offbreak,25
49024,230193,Matthew Wade,12/26/87,,left-hand bat,right-arm medium,2
426,16857,George Macaulay,1897-12-07,12/13/40,right-hand bat,,1
74741,703323,Ihsanullah,12/28/97,,right-hand bat,,40
1239,41919,Majid Khan,9/28/46,,right-hand bat,right-arm medium,7
9952,43906,Hashim Amla,3/31/83,,right-hand bat,right-arm medium,3
10538,6060,Phil Jaques,5/3/79,,left-hand bat,left-arm medium,2
64327,492687,Fanyan Mughal,10/3/86,,,,45
11271,48835,Dilhara Fernando,7/19/79,,right-hand bat,right-arm fast-medium,8
87603,942645,Khaleel Ahmed,12/5/97,,right-hand bat,left-arm medium,6
50483,270484,James Faulkner,4/29/90,,right-hand bat,left-arm fast-medium,2
46206,49535,Nuwan Kulasekara,7/22/82,,right-hand bat,right-arm fast-medium,8
78235,784375,Lahiru Kumara,2/13/97,,left-hand bat,right-arm fast,8
106702,1204010,Waseem Abbas,4/1/90,,right-hand bat,right-arm fast,45
66398,533956,Rahmat Shah,7/6/93,,right-hand bat,legbreak googly,40
70277,600498,Aiden Markram,10/4/94,,right-hand bat,right-arm offbreak,3
2286,5392,Jason Gillespie,4/19/75,,right-hand bat,right-arm fast,2
108153,1233043,Samuel Stanislaus,12/5/80,,right-hand bat,right-arm offbreak,45
53330,311592,Mitchell Starc,1/30/90,,left-hand bat,left-arm fast,2
15267,49677,Thilan Thushara,3/1/81,,left-hand bat,left-arm fast-medium,8
106716,1204124,Zeeshan Kukikhel,10/3/95,,right-hand bat,right-arm fast,139
1282,17018,Colin Milburn,10/23/41,2/28/90,right-hand bat,right-arm medium,1
109763,1273278,Imal Zuwak,1/5/90,,right-hand bat,right-arm medium-fast,204
102185,1144657,Nicolaj Laegsgaard,11/18/96,,left-hand bat,slow left-arm orthodox,13
51367,288284,Josh Hazlewood,1/8/91,,left-hand bat,right-arm fast-medium,2
50377,268739,Ajantha Mendis,3/11/85,,right-hand bat,right-arm offbreak,8
44971,44930,Friedel de Wet,6/26/80,,right-hand bat,right-arm fast-medium,3
2041,49636,Muthiah Muralidaran,4/17/72,,right-hand bat,right-arm offbreak,8
61993,446548,Scott Boland,4/11/89,,right-hand bat,right-arm fast-medium,2
481,52426,Freddie Martin,1893-10-12,11/23/67,left-hand bat,slow left-arm orthodox,4
891,46203,Jackie McGlew,3/11/29,6/9/98,right-hand bat,legbreak googly,3
1883,38707,Bert Vance,3/31/55,,right-hand bat,right-arm offbreak,5
1750,42420,Ramiz Raja,8/14/62,,right-hand bat,legbreak,7
1206,9142,Brian Bolus,1/31/34,5/6/20,right-hand bat,left-arm medium,1
7538,44098,Loots Bosman,4/14/77,,right-hand bat,right-arm medium,3
1845,20217,Gladstone Small,10/18/61,,right-hand bat,right-arm fast-medium,1
45222,44932,Jean-Paul Duminy,4/14/84,,left-hand bat,right-arm offbreak,3
8876,4578,Michael Clarke,4/2/81,,right-hand bat,slow left-arm orthodox,2
109604,1269467,Aaftab Alam Khan,1/31/86,,right-hand bat,right-arm medium-fast,45
67276,550133,Mosaddek Hossain,12/10/95,,right-hand bat,right-arm offbreak,25
1502,17025,Geoff Miller,9/8/52,,right-hand bat,right-arm offbreak,1
48739,219889,David Warner,10/27/86,,left-hand bat,legbreak,2
67773,568276,Imam-ul-Haq,12/22/95,,left-hand bat,,7
483,52815,Clifford Roach,3/13/04,4/16/88,right-hand bat,legbreak,4
70961,633362,Sharafuddin Ashraf,1/10/95,,right-hand bat,slow left-arm orthodox,40
54430,327830,Dwaine Pretorius,3/29/89,,right-hand bat,right-arm medium-fast,3
2000,8166,Shane Warne,9/13/69,3/4/22,right-hand bat,legbreak googly,2
114907,1369881,Jaspal Singh,10/17/86,,right-hand bat,right-arm medium,45
893,47857,John Waite,1/19/30,6/22/11,right-hand bat,,3
2032,38967,Aamer Sohail,9/14/66,,left-hand bat,slow left-arm orthodox,7
1739,42658,Shoaib Mohammad,1/8/61,,right-hand bat,right-arm offbreak,7
1203,12490,John Edrich,6/21/37,12/23/20,left-hand bat,right-arm medium,1
7041,14054,Steve Harmison,10/23/78,,right-hand bat,right-arm fast-medium,1
79159,793463,Rashid Khan,9/20/98,,right-hand bat,legbreak googly,40
66859,540316,Andile Phehlukwayo,3/3/96,,left-hand bat,right-arm medium-fast,3
96335,1076713,Cameron Green,6/3/99,,right-hand bat,right-arm fast-medium,2
106721,1204129,Satyadeep Ashwathnarayana,2/8/86,,right-hand bat,right-arm medium,139
5966,6278,Brett Lee,11/8/76,,right-hand bat,right-arm fast,2
108152,1233042,Amar Sharma,10/12/78,,right-hand bat,right-arm offbreak,45
91235,990039,Shoriful Islam,6/3/01,,left-hand bat,left-arm medium-fast,25
1376,21494,Bob Taylor,7/17/41,,right-hand bat,right-arm medium,1
65101,512191,Fakhar Zaman,4/10/90,,left-hand bat,slow left-arm orthodox,7
537,52050,George Headley,5/30/09,11/30/83,right-hand bat,legbreak,4
79163,793467,Karim Janat,8/11/98,,right-hand bat,right-arm medium,40
47209,55705,Tinashe Panyangara,10/21/85,,right-hand bat,right-arm fast-medium,9
65399,516561,Dawlat Zadran,3/19/88,,right-hand bat,right-arm fast-medium,40
67296,550215,Kagiso Rabada,5/25/95,,left-hand bat,right-arm fast,3
4176,5390,Adam Gilchrist,11/14/71,,left-hand bat,right-arm offbreak,2
109591,1268920,Ashok Bishnoi,2/19/88,,right-hand bat,right-arm medium,45
1450,12486,Phil Edmonds,3/8/51,,right-hand bat,slow left-arm orthodox,1
66808,538506,Taskin Ahmed,4/3/95,,left-hand bat,right-arm fast,25
901,44964,Russell Endean,5/31/24,6/28/03,right-hand bat,,3
59148,388802,Tom Latham,4/2/92,,left-hand bat,right-arm medium,5
90231,974175,Fazalhaq Farooqi,9/22/00,,right-hand bat,left-arm fast-medium,40
279,5375,Algy Gehrs,1880-11-29,6/25/53,right-hand bat,legbreak,2
114019,1345186,Sanze Kamate,8/6/94,,right-hand bat,right-arm medium-fast,4084
49120,232444,Taurai Muzarabani,3/27/87,,right-hand bat,right-arm fast-medium,9
90165,974109,Mujeeb Ur Rahman,3/28/01,,right-hand bat,right-arm offbreak,40
66941,542023,Lungi Ngidi,3/29/96,,right-hand bat,right-arm fast-medium,3
46480,4882,Dan Cullen,4/10/84,,right-hand bat,right-arm offbreak,2
64323,492681,Fazil Rahman,1/1/97,,right-hand bat,right-arm medium,45
52364,300619,Rubel Hossain,1/1/90,,right-hand bat,right-arm fast,25
1403,18256,Chris Old,12/22/48,,left-hand bat,right-arm fast-medium,1
1863,37491,Andrew Jones,5/9/59,,right-hand bat,right-arm offbreak,5
1672,42623,Saleem Malik,4/16/63,,right-hand bat,right-arm slow-medium,7
84053,913843,Nijat Masood,12/30/98,,right-hand bat,right-arm medium,40
49268,235516,Richmond Mutumbami,6/11/89,,right-hand bat,right-arm offbreak,9
53755,319746,Shapoor Zadran,7/8/87,,left-hand bat,left-arm fast-medium,40
19422,40618,Imran Tahir,3/27/79,,right-hand bat,legbreak googly,3
4376,6441,Stuart MacGill,2/25/71,,right-hand bat,legbreak googly,2
97292,1096090,Yash Singh,9/5/92,,right-hand bat,right-arm offbreak,45
56825,348049,Nasum Ahmed,12/5/94,,left-hand bat,slow left-arm orthodox,25
1366,22462,Bob Willis,5/30/49,12/4/19,right-hand bat,right-arm fast,1
10406,47270,Graeme Smith,2/1/81,,left-hand bat,right-arm offbreak,3
61771,437927,Stephan Baard,4/29/92,,right-hand bat,right-arm medium-fast,28
109547,1267514,Wintley Burton,10/15/91,,right-hand bat,right-arm medium-fast,5615
7568,51880,Chris Gayle,9/21/79,,left-hand bat,right-arm offbreak,4
187,12930,C.B. Fry,1872-04-25,9/7/56,right-hand bat,right-arm fast-medium,1
